0,0,0,7
0,7,0,10
0,10,0,12
0,12,0,15
3,0,3,2
3,5,3,7
3,7,3,10
6,7,6,10
6,12,6,15
8,2,8,5
8,5,8,10
8,10,8,12
10,5,10,7
10,7,10,12
11,0,11,2
13,2,13,5
13,5,13,7
13,7,13,10
13,10,13,12
13,12,13,15
15,0,15,5
15,7,15,10
15,10,15,15
0,0,3,0
3,0,11,0
11,0,15,0
3,2,8,2
8,2,11,2
11,2,13,2
3,5,8,5
8,5,10,5
13,5,15,5
0,7,3,7
3,7,6,7
10,7,13,7
13,7,15,7
0,10,3,10
3,10,6,10
6,10,8,10
13,10,15,10
0,12,6,12
6,12,8,12
8,12,10,12
10,12,13,12
0,15,6,15
6,15,13,15
13,15,15,15
